,business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods,Police Districts,Supervisor Districts,Fire Prevention Districts,Zip Codes,Analysis Neighborhoods
30056,3623,CHAVA'S,2839 MISSION St,San Francisco,CA,94110,37.751554,-122.418376,"{'longitude': '-122.418376', 'latitude': '37.751554', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155280283.0,3623_20190417,2019-04-17T00:00:00.000,90.0,Routine - Unscheduled,3623_20190417_103150,Improper or defective plumbing,Low Risk,19.0,4.0,7.0,2.0,28859.0,20.0
30062,403,HAAGEN-DAZS #561,865 MARKET St,San Francisco,CA,94103,37.784317,-122.407563,"{'longitude': '-122.407563', 'latitude': '37.784317', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155891550.0,403_20170925,2017-09-25T00:00:00.000,88.0,Routine - Unscheduled,403_20170925_103131,Moderate risk vermin infestation,Moderate Risk,34.0,2.0,9.0,12.0,28853.0,34.0
30076,64154,"Yummy Dim Sum & Fast Food, LLC",930 Stockton St,San Francisco,CA,94108,37.794457,-122.407896,"{'longitude': '-122.407896', 'latitude': '37.794457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155982783.0,64154_20171109,2017-11-09T00:00:00.000,86.0,Routine - Unscheduled,64154_20171109_103120,Moderate risk food holding temperature,Moderate Risk,4.0,1.0,10.0,3.0,28857.0,6.0
30082,3838,CAFE PICARO,3120 16th St,San Francisco,CA,94103,37.764908,-122.422442,"{'longitude': '-122.422442', 'latitude': '37.764908', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155434089.0,3838_20180222,2018-02-22T00:00:00.000,72.0,Routine - Unscheduled,3838_20180222_103154,Unclean or degraded floors walls or ceilings,Low Risk,19.0,4.0,5.0,8.0,28853.0,20.0
30085,71532,Xpresso Tea,6901 Geary Blvd,San Francisco,CA,94121,37.779663,-122.493618,"{'longitude': '-122.493618', 'latitude': '37.779663', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155277367.0,71532_20190308,2019-03-08T00:00:00.000,94.0,Routine - Unscheduled,71532_20190308_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,26.0,6.0,2.0,11.0,55.0,29.0
30098,4774,BAYSIDE MARKET,120 BRANNAN St,San Francisco,CA,94107,37.78416,-122.389239,"{'longitude': '-122.389239', 'latitude': '37.78416', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155220151.0,4774_20160823,2016-08-23T00:00:00.000,84.0,Routine - Unscheduled,4774_20160823_103131,Moderate risk vermin infestation,Moderate Risk,6.0,2.0,9.0,6.0,28856.0,8.0
30115,4907,JIM GEORGIE'S DONUT,2799 16th St,San Francisco,CA,94103,37.765262,-122.41523,"{'longitude': '-122.41523', 'latitude': '37.765262', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155867112.0,4907_20171108,2017-11-08T00:00:00.000,81.0,Routine - Unscheduled,4907_20171108_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,19.0,4.0,7.0,8.0,28859.0,20.0
30123,3862,IMPERIAL GARDEN SEAFOOD RESTAURANT,2626 SAN BRUNO Ave,San Francisco,CA,94134,37.728458,-122.403991,"{'longitude': '-122.403991', 'latitude': '37.728458', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155469666.0,3862_20170905,2017-09-05T00:00:00.000,73.0,Routine - Unscheduled,3862_20170905_103151,Inadequate or unsanitary refuse containers or area or no garbage service,Low Risk,28.0,3.0,7.0,10.0,309.0,25.0
30125,64154,"Yummy Dim Sum & Fast Food, LLC",930 Stockton St,San Francisco,CA,94108,37.794457,-122.407896,"{'longitude': '-122.407896', 'latitude': '37.794457', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155982783.0,64154_20190102,2019-01-02T00:00:00.000,88.0,Routine - Unscheduled,64154_20190102_103147,Inadequate ventilation or lighting,Low Risk,4.0,1.0,10.0,3.0,28857.0,6.0
30137,4685,NORMAN'S LIQUOR & DELI,733 Randolph St,San Francisco,CA,94132,37.714204,-122.469193,"{'longitude': '-122.469193', 'latitude': '37.714204', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155580088.0,4685_20170615,2017-06-15T00:00:00.000,87.0,Routine - Unscheduled,4685_20170615_103154,Unclean or degraded floors walls or ceilings,Low Risk,24.0,8.0,6.0,9.0,64.0,24.0
30152,59838,OTD,2232 Bush St,San Francisco,CA,94115,37.786988,-122.434074,"{'longitude': '-122.434074', 'latitude': '37.786988', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155929578.0,59838_20180723,2018-07-23T00:00:00.000,80.0,Routine - Unscheduled,59838_20180723_103109,Unclean or unsanitary food contact surfaces,High Risk,27.0,9.0,11.0,13.0,29490.0,30.0
30158,146,DEJA VU PIZZA & PASTA,3227 16th St,San Francisco,CA,94103,37.764713,-122.424709,"{'longitude': '-122.424709', 'latitude': '37.764713', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155251600.0,146_20181227,2018-12-27T00:00:00.000,90.0,Routine - Unscheduled,146_20181227_103131,Moderate risk vermin infestation,Moderate Risk,19.0,4.0,5.0,8.0,28859.0,20.0
30167,69175,Mau Restaurant,665 Valencia St,San Francisco,CA,94110,37.762381,-122.42156,"{'longitude': '-122.42156', 'latitude': '37.762381', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",14155307517.0,69175_20180410,2018-04-10T00:00:00.000,83.0,Routine - Unscheduled,69175_20180410_103105,Improper cooling methods,High Risk,19.0,4.0,7.0,8.0,28859.0,20.0
